model_name,doc_id,system,language_locale,aspect,human_score,raw_output,judge_score
deepseek/deepseek-chat,104373856e995a074579797ebe34fcb2,Gemma-3-12B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,fb2c387e7e5272a43305940219116463,Gemma-3-12B,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,e91353a8c4dde03994b2cbfb5521172e,Mistral-Medium,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,170d490a7ae53347e8fe3eabe4e28001,Qwen3-235B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,14e076d13751e87d8c09f7f13125e755,CommandR7B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,c145f96bc4b6c5d0d18e06e89cb629bd,Llama-3,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,6caeb46fd20a0b0f5a9f74da715d8b77,DeepSeek-V3,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,13ae1b97872d056d111cbf8dfd1617c2,Llama-3,Egyptian Arabic,coherence,3,5,5.0
deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,Mistral-7B,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,63d411be4c5a409e108fbdce6e3f8689,AyaExpanse-32B,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,63d411be4c5a409e108fbdce6e3f8689,Mistral-Medium,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,169c53c4e9f905b5a1579bb2c89f80b4,Llama-3,Egyptian Arabic,coherence,6,5,5.0
deepseek/deepseek-chat,25206396b6f90a56a632de9594cfa279,Mistral-Medium,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,df85068ad8d348d04f95ee17882f0da4,Claude-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,b9b10ffcbee1477b164fd32d4ef7fb40,Gemma-3-27B,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,25206396b6f90a56a632de9594cfa279,Llama-4-Maverick,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,e164924261a2ff3dddb8d1e0b4e5fdb6,DeepSeek-V3,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,f188e8e224ad837ca63d8472c69cf931,CommandA,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,c145f96bc4b6c5d0d18e06e89cb629bd,AyaExpanse-32B,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,0a3da1ceeb83f664b813bb28f001d766,CommandR7B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,df85068ad8d348d04f95ee17882f0da4,CommandA,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,d48c3ed115b970b0947d892881d35aa9,Qwen2,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,104373856e995a074579797ebe34fcb2,AyaExpanse-8B,Egyptian Arabic,coherence,7,7,7.0
deepseek/deepseek-chat,aec42313c4c01a4d1e2240d54ab41992,Mistral-7B,Egyptian Arabic,coherence,1,3,3.0
deepseek/deepseek-chat,cb75a2b7d6041b0ce85ec4218fe2f5e0,CommandR7B,Egyptian Arabic,coherence,1,3,3.0
deepseek/deepseek-chat,619fdd90dcf02a109782351e726f434d,CommandA,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,95641032115fac92e1ea4efa811faae8,Gemma-3-27B,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,9071b005524e4661f6718fe829648c22,Gemini-2,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,22645d3694ea307a2d88a0b1669a4550,Llama-3,Egyptian Arabic,coherence,3,5,5.0
deepseek/deepseek-chat,df85068ad8d348d04f95ee17882f0da4,Mistral-7B,Egyptian Arabic,coherence,1,3,3.0
deepseek/deepseek-chat,941c034555e30f65555a5ce841836317,AyaExpanse-8B,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,22645d3694ea307a2d88a0b1669a4550,Gemma-3-27B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,e164924261a2ff3dddb8d1e0b4e5fdb6,Mistral-Medium,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,619fdd90dcf02a109782351e726f434d,Llama-3,Egyptian Arabic,coherence,3,5,5.0
deepseek/deepseek-chat,dff06d843446af8648fc9ff9afacb718,Gemma-3-27B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,aec42313c4c01a4d1e2240d54ab41992,Gemini-2,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,Llama-4-Maverick,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,b400d942abc879906d5d2e7cbf1445b5,AyaExpanse-32B,Egyptian Arabic,coherence,6,6,6.0
