source_variant,model_name,doc_id,system,language_locale,aspect,human_score,raw_output,judge_score,file_name,prompt_id,source_variant_original
prompt_1,qwen/qwen-2.5-7b-instruct,fd3d2779b04a00f64e86ebda4403eb34,AyaExpanse-8B,English (United States),coherence,7,6,6,openrouter_aspect_specific_prompt_full_english_1.csv,prompt_1,openrouter_qwen/qwen-2.5-7b-instruct_aspect_specific_rubric_prompt
prompt_1,qwen/qwen-2.5-7b-instruct,e4c27cfc2c87eba9a17d237c0988dcbd,Mistral-7B,English (United States),coherence,7,7,7,openrouter_aspect_specific_prompt_full_english_1.csv,prompt_1,openrouter_qwen/qwen-2.5-7b-instruct_aspect_specific_rubric_prompt
prompt_1,qwen/qwen-2.5-7b-instruct,aec42313c4c01a4d1e2240d54ab41992,Gemma-3-27B,English (United States),coherence,6,4,4,openrouter_aspect_specific_prompt_full_english_1.csv,prompt_1,openrouter_qwen/qwen-2.5-7b-instruct_aspect_specific_rubric_prompt
prompt_1,qwen/qwen-2.5-7b-instruct,b9b10ffcbee1477b164fd32d4ef7fb40,CommandR7B,English (United States),coherence,6,7,7,openrouter_aspect_specific_prompt_full_english_1.csv,prompt_1,openrouter_qwen/qwen-2.5-7b-instruct_aspect_specific_rubric_prompt
prompt_1,qwen/qwen-2.5-7b-instruct,104373856e995a074579797ebe34fcb2,GPT-4,English (United States),coherence,7,6,6,openrouter_aspect_specific_prompt_full_english_1.csv,prompt_1,openrouter_qwen/qwen-2.5-7b-instruct_aspect_specific_rubric_prompt
prompt_1,qwen/qwen-2.5-7b-instruct,13ae1b97872d056d111cbf8dfd1617c2,Claude-4,English (United States),coherence,7,5,5,openrouter_aspect_specific_prompt_full_english_1.csv,prompt_1,openrouter_qwen/qwen-2.5-7b-instruct_aspect_specific_rubric_prompt
prompt_1,qwen/qwen-2.5-7b-instruct,34ff7b0c7d176187b5f56965bc072870,DeepSeek-V3,English (United States),coherence,7,6,6,openrouter_aspect_specific_prompt_full_english_1.csv,prompt_1,openrouter_qwen/qwen-2.5-7b-instruct_aspect_specific_rubric_prompt
prompt_1,qwen/qwen-2.5-7b-instruct,c145f96bc4b6c5d0d18e06e89cb629bd,Claude-4,English (United States),coherence,7,7,7,openrouter_aspect_specific_prompt_full_english_1.csv,prompt_1,openrouter_qwen/qwen-2.5-7b-instruct_aspect_specific_rubric_prompt
prompt_1,qwen/qwen-2.5-7b-instruct,e91353a8c4dde03994b2cbfb5521172e,Gemma-3-12B,English (United States),coherence,7,6,6,openrouter_aspect_specific_prompt_full_english_1.csv,prompt_1,openrouter_qwen/qwen-2.5-7b-instruct_aspect_specific_rubric_prompt
prompt_1,qwen/qwen-2.5-7b-instruct,dff06d843446af8648fc9ff9afacb718,Qwen2,English (United States),coherence,7,5,5,openrouter_aspect_specific_prompt_full_english_1.csv,prompt_1,openrouter_qwen/qwen-2.5-7b-instruct_aspect_specific_rubric_prompt
