pairwise_accuracy,acc_eq,C,D,T_h,T_m,T_hm,n_pairs_pairwise,n_pairs_acceq,prompt_variant,aspect,n_rows,n_items,n_systems
0.012658227848101266,0.6111111111111112,1,0,62,78,219,79,360,direct_prompt,coherence,48,3,16
0.022727272727272728,0.7611111111111111,1,0,43,43,273,44,360,direct_prompt,naturalness,48,3,16
0.2641509433962264,0.4305555555555556,28,20,127,58,127,106,360,direct_prompt,instruction_following,48,3,16
0.17721518987341772,0.6388888888888888,14,3,65,62,216,79,360,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,coherence,48,3,16
0.5,0.65,22,5,104,17,212,44,360,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,naturalness,48,3,16
0.33962264150943394,0.5638888888888889,36,30,87,40,167,106,360,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,instruction_following,48,3,16
0.11392405063291139,0.6138888888888889,9,0,69,70,212,79,360,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_2,coherence,48,3,16
0.20454545454545456,0.5638888888888889,9,8,122,27,194,44,360,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_2,naturalness,48,3,16
0.39622641509433965,0.5444444444444444,42,19,100,45,154,106,360,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_2,instruction_following,48,3,16
0.2911392405063291,0.5638888888888889,23,7,101,49,180,79,360,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_3,coherence,48,3,16
0.20454545454545456,0.6777777777777778,9,2,81,33,235,44,360,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_3,naturalness,48,3,16
0.4528301886792453,0.49722222222222223,48,1,123,57,131,106,360,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_3,instruction_following,48,3,16
0.17721518987341772,0.5416666666666666,14,11,100,54,181,79,360,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_4,coherence,48,3,16
0.3333333333333333,0.591304347826087,14,4,113,24,190,42,345,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_4,naturalness,47,3,16
0.5625,0.6208530805687204,18,3,66,11,113,32,211,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_4,instruction_following,35,3,16
0.24050632911392406,0.5777777777777777,19,7,92,53,189,79,360,shared_task_deepseek_v3,coherence,48,3,16
0.0,0.8777777777777778,0,0,0,44,316,44,360,shared_task_deepseek_v3,naturalness,48,3,16
0.18867924528301888,0.5916666666666667,20,26,61,60,193,106,360,shared_task_deepseek_v3,instruction_following,48,3,16
0.3411764705882353,0.40555555555555556,58,42,102,70,88,170,360,direct_prompt,mean_score,48,3,16
0.47058823529411764,0.41944444444444445,80,36,119,54,71,170,360,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,mean_score,48,3,16
0.5470588235294118,0.39166666666666666,93,29,142,48,48,170,360,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_2,mean_score,48,3,16
0.5235294117647059,0.3888888888888889,89,26,139,55,51,170,360,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_3,mean_score,48,3,16
0.5737704918032787,0.5166666666666667,70,33,122,19,116,122,360,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_4,mean_score,48,3,16
0.34705882352941175,0.5,59,40,69,71,121,170,360,shared_task_deepseek_v3,mean_score,48,3,16
